count,name
13,Cable (Deadpool)
13,Mephisto
13,Brotherhood of Evil Mutants
13,Young Avengers
13,Wolfpack
13,Blonde Phantom
13,Mr. Fantastic
13,Red Hulk
12,Frank Castle
12,Karnak
12,Menace
12,Crimson Dynamo
12,Blastaar
12,Slapstick
12,Nextwave
12,May Parker
12,Peggy Carter (Captain Carter)
12,3-D Man
12,X-Statix
11,X-Babies
11,Anthem
11,Amiko
11,Kabuki
11,Hyperion (Earth-712)
11,Gladiator (Kallark)
11,Wasp
11,Red Skull
11,Ultimate Spider-Man (USM)
11,Hammerhead
11,Kid Colt
11,Colossus (Ultimate)
11,Taskmaster
11,Death
11,Baron Zemo (Heinrich Zemo)
11,Bling!
11,Baron Mordo (Karl Mordo)
11,Green Goblin (Barry Norman Osborn)
10,Toxin (Eddie Brock)
10,Moon Girl (Lunella Layfayette)
10,Destiny
10,Sword Master (Sword Master)
10,Crossbones
10,Jigsaw
10,Happy Hogan
10,Mariko Yashida
10,Ghost Rider (Robbie Reyes)
10,Logan
10,Quentin Quire
10,Shatterstar
10,Callisto
10,Roland Deschain
10,Prowler
10,Kang
9,Beyonder
9,Bride of Nine Spiders (Immortal Weapons)
9,Ezekiel Stane
9,Anita Blake
9,Angel (Thomas Halloway)
9,Scorpion (Mac Gargan)
9,Diablo
9,Battlestar
9,Dust
9,Doctor Octopus (Ultimate)
9,GW Bridge
9,Alex Wilder
9,Captain Stacy
9,Red She-Hulk
9,Shanna the She-Devil
9,Arclight
9,Union Jack (Joseph Chapman)
9,Peter Parker
9,Marvel Apes
9,Black Widow (Ultimate)
9,Firelord
8,Black Panther (Ultimate)
8,Dead Girl
8,Butterfly
8,Dark X-Men
8,Secret Warriors
8,Blue Marvel
8,Longshot
8,Cardiac
8,Abyss
8,Echo
8,Polaris
8,Mary Jane Watson (Ultimate)
8,Fantomex
8,Blizzard
8,Toxin
8,Bengal
8,U.S. Agent
8,Multiple Man
8,Ego
8,Gargoyle
8,Microchip
7,Sinister Six
7,Blackheart
7,Brother Voodoo
7,Boomer
7,Amora
7,Gravity
7,Mantis
7,Ultimates
7,Namorita
7,Hawkeye (Ultimate)
7,Nighthawk
7,Skaar
7,Caliban
7,High Evolutionary
7,Big Bertha
7,Mole Man
7,M (Monet St. Croix)
7,Black Tom
7,Human Torch (Ultimate)
7,Edwin Jarvis
7,Donald Blake
7,Goliath (Bill Foster)
7,Jessica Drew
7,Green Goblin (Harry Osborn)
7,Spider-Man (Noir)
7,Weapon X
6,Silver Sable
6,Gorgon
6,Great Lakes Avengers
6,Debrii
6,Omega Flight
6,Calypso
6,Bushwacker
6,Dragon Man
6,Exodus
6,Frog Thor
6,Man-Wolf
6,Giant Man
6,Robbie Robertson
6,Hit-Monkey
6,Corsair
6,Captain Marvel (Monica Rambeau)
6,Solo (James Bourne)
6,Morgan Le Fay
6,American Eagle (Jason Strongbow)
6,Fat Cobra
6,Grey Gargoyle
6,Vengeance (Michael Badilino)
6,Kat Farrell
6,Atlas (Team)
6,Puma
6,Prodigy
6,Graviton
6,Master Chief
6,Hulk (Marvel Zombies)
6,Yondu
6,Curt Conners
6,Dora Milaje
6,Sauron
6,Mr. Negative
6,Scorpion (Carmilla Black)
6,Blok
6,"Bob, Agent of Hydra"
6,Karma
6,Brute
6,Arachne
5,Deviants
5,Mojo
5,Stingray (Walter Newell)
5,Misty Knight
5,Black Cat (Ultimate)
5,Beak
5,Jocasta
5,Leader
5,Cosmo (dog)
5,Angel (Angel Salvadore)
5,Sleepwalker
5,Morlocks
5,Black Widow (Yelena Belova)
5,Ezekiel
5,Anole
5,Moonstone
5,Blockbuster
5,Hellion
5,Ender Wiggin
5,Controller
5,True Believers
5,Diamondback (Rachel Leighton)
5,Hellfire Club
5,Punisher (2099)
5,John Jameson
5,Firebrand
5,Songbird
5,Malekith
5,Wraith
5,Victor Von Doom
4,A-Bomb (HAS)
4,Jack Murdock
4,Gateway
4,Eternity
4,Morlun
4,Electro (Ultimate)
4,Storm (Ultimate)
4,The Hood
4,Sin
4,Nick Fury (Ultimate)
4,Gorilla Man
4,Maria Hill
4,Barracuda
4,Spitfire
4,Impossible Man
4,Bloodscream
4,Namora
4,Phil Sheldon
4,Freak
4,Wolfsbane
4,Air-Walker (Gabriel Lan)
4,Omega Red
4,Crusher Hogan (Ultimate)
4,Luna Snow (Luna Snow)
4,Nekra
4,Kree
4,Mister Sinister
4,Grandmaster
